시군명,업체명,소재지도로명주소,소재지지번주소,업종명,위도,경도,데이터기준일
평택시,(주)영진하이텍,경기도 평택시 청북읍 청북중앙로459-5,경기도 평택시 청북읍 고잔리 631-9번지,사용업+ 제조업,37.049515 ,126.891067 ,2025-02-07
평택시,(주)유니테크,경기도 평택시 산단로64번길48(모곡동),경기도 평택시 모곡동 450-3번지,사용업+ 알선판매업,37.033228 ,127.075942 ,2025-02-07
평택시,(주)유원,경기도 평택시 포승읍 포승공단순환로554,경기도 평택시 포승읍 원정리 1203-3번지,사용업,36.989106 ,126.837473 ,2025-02-07
평택시,(주)제이에스아이,경기도 평택시 포승읍 포승공단로170,경기도 평택시 포승읍 내기리 679-24번지,사용업,36.981378 ,126.853597 ,2025-02-07
평택시,(주)제일케미칼,경기도 평택시 세교산단로22번길43,경기도 평택시 세교동 542-3번지,제조업+ 판매업,37.010705 ,127.083664 ,2025-02-07
평택시,(주)추강홀딩스청북창고,경기도 평택시 청북읍 청북중앙로658-23,경기도 평택시 청북읍 고잔리 1-754번지,보관저장업,37.059440 ,126.896297 ,2025-02-07
평택시,(주)켐트로닉스,경기도 평택시 포승읍 평택항로156번길79,경기도 평택시 포승읍 내기리 679-16번지,사용업+ 제조업+ 판매업,36.976846 ,126.851856 ,2025-02-07
평택시,(주)태영비앤씨,경기도 평택시 진위면 진위2산단로140+522호(더퍼스트타워평택),경기도 평택시 진위면 갈곶리 737-2번지 522호 더퍼스트타워평택,알선판매업,37.119183 ,127.077938 ,2025-02-07
평택시,(주)태진,경기도 평택시 세교산단로21-4,경기도 평택시 세교동 541-3번지,알선판매업,37.009681 ,127.080575 ,2025-02-07
평택시,(주)한서켐,경기도 평택시 포승읍 포승공단로 41,경기도 평택시 포승읍 원정리1206-14번지,사용업,36.977137 ,126.839991 ,2025-02-07
평택시,(주)한스코리아,경기도 평택시 수월암길15-18,,알선판매업,37.121385 ,127.035262 ,2025-02-07
